accuracy	dm_source_file	leksikalnost	rec	trial_number	NoM	RT
86.84210526	26-2018A.csv	rec	DISANJE	52	1	569
93.69369369	31-2018A.csv	rec	DISANJE	52	1	436
90.66666667	33-2018A.csv	rec	DISANJE	52	1	528
93.22916667	34-2018B.csv	rec	DISANJE	52	1	510
85.4368932	35-2018A.csv	rec	DISANJE	52	1	798
83.88888889	36-2018B.csv	rec	DISANJE	52	1	508
95.74468085	37-2018A.csv	rec	DISANJE	52	1	582
98.64864865	40-2018A.csv	rec	DISANJE	52	1	512
90.20979021	4-2018B.csv	rec	DISANJE	52	1	598
85.71428571	42-2018A.csv	rec	DISANJE	52	1	502
91.17647059	43-2018A.csv	rec	DISANJE	52	1	537
92.2705314	44-2018B.csv	rec	DISANJE	52	1	550
92.68292683	45-2018A.csv	rec	DISANJE	52	1	913
97.91666667	48-2018A.csv	rec	DISANJE	52	1	502
74.69879518	50-2018A.csv	rec	DISANJE	52	1	733
85.23809524	53-2018B.csv	rec	DISANJE	52	1	595
91.61676647	54-2018B.csv	rec	DISANJE	52	1	729
94.70198676	55-2018B.csv	rec	DISANJE	52	1	574
96.22641509	56-2018A.csv	rec	DISANJE	52	1	535
93.33333333	56-2018B.csv	rec	DISANJE	52	1	539
92.59259259	59-2018A.csv	rec	DISANJE	52	1	540
95.29411765	61-2018B.csv	rec	DISANJE	52	1	589
95	6-2018B.csv	rec	DISANJE	52	1	741
96.2962963	63-2018A.csv	rec	DISANJE	52	1	530
95.27027027	65-2018B.csv	rec	DISANJE	52	1	501
89.22155689	67-2018B.csv	rec	DISANJE	52	1	858
92.59259259	68-2018B.csv	rec	DISANJE	52	1	657
96.96969697	7-2018A.csv	rec	DISANJE	52	1	555
98.4375	73-2018A.csv	rec	DISANJE	52	1	428
93.81443299	8-2018A.csv	rec	DISANJE	52	1	704
92.79279279	99-2018B.csv	rec	DISANJE	52	1	689
87.71929825	02-2018A.csv	rec	DODATAK	10	1	497
92.95774648	09-2018B.csv	rec	DODATAK	10	1	634
86.66666667	10-2018A.csv	rec	DODATAK	10	1	554
94	1-2018A.csv	rec	DODATAK	10	1	578
95.71428571	12-2018B.csv	rec	DODATAK	10	1	589
92.65536723	14-2018B.csv	rec	DODATAK	10	1	631
93.75	18-2018B.csv	rec	DODATAK	10	1	564
89.18918919	19-2018B.csv	rec	DODATAK	10	1	500
92.75362319	20-2018A.csv	rec	DODATAK	10	1	578
90.32258065	21-2018A.csv	rec	DODATAK	10	1	622
92.95774648	23-2018B.csv	rec	DODATAK	10	1	486
88.57142857	26-2018A.csv	rec	DODATAK	10	1	661
91.95402299	31-2018A.csv	rec	DODATAK	10	1	479
94.59459459	33-2018A.csv	rec	DODATAK	10	1	582
94.63087248	34-2018B.csv	rec	DODATAK	10	1	616
83.09859155	35-2018A.csv	rec	DODATAK	10	1	815
83.63636364	36-2018B.csv	rec	DODATAK	10	1	604
96.875	37-2018A.csv	rec	DODATAK	10	1	684
98.86363636	40-2018A.csv	rec	DODATAK	10	1	573
89.71428571	4-2018B.csv	rec	DODATAK	10	1	843
80.95238095	42-2018A.csv	rec	DODATAK	10	1	438
88.88888889	43-2018A.csv	rec	DODATAK	10	1	707
92.10526316	44-2018B.csv	rec	DODATAK	10	1	500
